checkpoint,probe,logit_diff
10M,boy/girl,0.14
10M,king/queen,1.052
10M,dog/cat,0.166
10M,man/woman,1.262
10M,milk/shoes,1.835
10M,pet/hid,0.996
10M,it/nothing,4.054
10M,it/them,1.674
10M,home/work,0.636
20M,boy/girl,0.044
20M,king/queen,1.147
20M,dog/cat,0.311
20M,man/woman,0.948
20M,milk/shoes,1.123
20M,pet/hid,-0.242
20M,it/nothing,3.323
20M,it/them,0.139
20M,home/work,0.644
50M,boy/girl,0.149
50M,king/queen,1.787
50M,dog/cat,-0.294
50M,man/woman,0.649
50M,milk/shoes,1.486
50M,pet/hid,-3.557
50M,it/nothing,3.195
50M,it/them,1.59
50M,home/work,1.789
200M,boy/girl,-0.909
200M,king/queen,0.554
200M,dog/cat,-1.214
200M,man/woman,0.106
200M,milk/shoes,0.734
200M,pet/hid,-3.388
200M,it/nothing,5.606
200M,it/them,-0.397
200M,home/work,4.082
1000M,boy/girl,-1.261
1000M,king/queen,0.81
1000M,dog/cat,-2.158
1000M,man/woman,1.194
1000M,milk/shoes,-0.11
1000M,pet/hid,-3.775
1000M,it/nothing,4.808
1000M,it/them,1.305
1000M,home/work,4.409
