checkpoint,layer,head,entropy
10M,0,0,2.5902111530303955
10M,0,1,2.596686363220215
10M,0,2,2.5722098350524902
10M,0,3,2.593334436416626
10M,0,4,2.5806732177734375
10M,0,5,2.5514285564422607
10M,0,6,2.5675618648529053
10M,0,7,2.5983095169067383
10M,0,8,2.557671070098877
10M,0,9,2.5981204509735107
10M,0,10,2.537534236907959
10M,0,11,2.511963129043579
10M,1,0,2.6080808639526367
10M,1,1,2.6074204444885254
10M,1,2,2.613499641418457
10M,1,3,2.60929536819458
10M,1,4,2.5982816219329834
10M,1,5,2.557096004486084
10M,1,6,2.57578706741333
10M,1,7,2.5917115211486816
10M,1,8,2.55614972114563
10M,1,9,2.595780372619629
10M,1,10,2.5972111225128174
10M,1,11,2.577577590942383
10M,2,0,2.5390052795410156
10M,2,1,2.606858968734741
10M,2,2,2.3447437286376953
10M,2,3,2.5704588890075684
10M,2,4,2.5854976177215576
10M,2,5,2.536334991455078
10M,2,6,2.5122251510620117
10M,2,7,2.5925469398498535
10M,2,8,2.5449771881103516
10M,2,9,2.5583033561706543
10M,2,10,2.6001076698303223
10M,2,11,2.4849331378936768
10M,3,0,2.5206408500671387
10M,3,1,2.474769115447998
10M,3,2,2.430555820465088
10M,3,3,2.4471662044525146
10M,3,4,2.612623453140259
10M,3,5,2.4930272102355957
10M,3,6,2.4515297412872314
10M,3,7,2.576890468597412
10M,3,8,2.470720052719116
10M,3,9,2.586989402770996
10M,3,10,2.5678887367248535
10M,3,11,2.569068193435669
10M,4,0,2.601151943206787
10M,4,1,2.483307361602783
10M,4,2,2.3878026008605957
10M,4,3,2.5394246578216553
10M,4,4,2.3707849979400635
10M,4,5,2.595005512237549
10M,4,6,2.584373950958252
10M,4,7,2.529618501663208
10M,4,8,2.581144332885742
10M,4,9,2.5444953441619873
10M,4,10,2.472149133682251
10M,4,11,2.5188324451446533
10M,5,0,2.420860767364502
10M,5,1,2.5165772438049316
10M,5,2,2.4766125679016113
10M,5,3,2.5684683322906494
10M,5,4,2.496166706085205
10M,5,5,2.574369430541992
10M,5,6,2.549992084503174
10M,5,7,2.5419111251831055
