layer,head,dla_contribution,probe,checkpoint
0,0,-0.00015697575872763991,dog/cat,10M
0,1,-0.0008531020139344037,dog/cat,10M
0,2,-0.0015478278510272503,dog/cat,10M
0,3,0.0005612805252894759,dog/cat,10M
0,4,-0.0013135607587173581,dog/cat,10M
0,5,-0.0006682747625745833,dog/cat,10M
0,6,-0.0007447356474585831,dog/cat,10M
0,7,-0.002106068655848503,dog/cat,10M
0,8,-0.0007897784234955907,dog/cat,10M
0,9,-0.0006338112289085984,dog/cat,10M
0,10,-0.0016413707053288817,dog/cat,10M
0,11,0.0006443395977839828,dog/cat,10M
1,0,-0.00013535772450268269,dog/cat,10M
1,1,4.201754927635193e-05,dog/cat,10M
1,2,0.002900413703173399,dog/cat,10M
1,3,0.001650183112360537,dog/cat,10M
1,4,0.0012628304539248347,dog/cat,10M
1,5,0.0035048555582761765,dog/cat,10M
1,6,0.0030587806832045317,dog/cat,10M
1,7,-0.011654221452772617,dog/cat,10M
1,8,0.00015059462748467922,dog/cat,10M
1,9,-0.0003749723546206951,dog/cat,10M
1,10,-0.0053492384031414986,dog/cat,10M
1,11,0.002328424248844385,dog/cat,10M
2,0,-0.003812547540292144,dog/cat,10M
2,1,-0.00023835571482777596,dog/cat,10M
2,2,0.0006250168662518263,dog/cat,10M
2,3,0.00018878025002777576,dog/cat,10M
2,4,0.00013531441800296307,dog/cat,10M
2,5,-0.0003059222362935543,dog/cat,10M
2,6,-0.012859046459197998,dog/cat,10M
2,7,-0.004919088911265135,dog/cat,10M
2,8,-0.00904050376266241,dog/cat,10M
2,9,-0.0015674479072913527,dog/cat,10M
2,10,-0.007502649910748005,dog/cat,10M
2,11,-0.0011794917518272996,dog/cat,10M
3,0,0.0031370611395686865,dog/cat,10M
3,1,-0.0009651276050135493,dog/cat,10M
3,2,-0.0027595222927629948,dog/cat,10M
3,3,-0.0008316203020513058,dog/cat,10M
3,4,-0.003948315046727657,dog/cat,10M
3,5,-0.0009825971210375428,dog/cat,10M
3,6,0.0025618181098252535,dog/cat,10M
3,7,0.0030479368288069963,dog/cat,10M
3,8,0.008209314197301865,dog/cat,10M
3,9,-0.002414229093119502,dog/cat,10M
3,10,-0.004858005326241255,dog/cat,10M
3,11,0.002686108462512493,dog/cat,10M
4,0,0.00046856189146637917,dog/cat,10M
4,1,0.0017403487581759691,dog/cat,10M
4,2,-0.0005217371508479118,dog/cat,10M
4,3,-0.0021093913819640875,dog/cat,10M
4,4,0.0001020870404317975,dog/cat,10M
4,5,0.0007654089131392539,dog/cat,10M
4,6,-0.0023140176199376583,dog/cat,10M
4,7,-0.0013705567689612508,dog/cat,10M
4,8,-0.0013042986392974854,dog/cat,10M
4,9,0.0010062037035822868,dog/cat,10M
4,10,-0.0011535577941685915,dog/cat,10M
4,11,-0.0005817625788040459,dog/cat,10M
5,0,0.004564063623547554,dog/cat,10M
5,1,0.0040468499064445496,dog/cat,10M
5,2,0.005922961980104446,dog/cat,10M
5,3,-0.005015355534851551,dog/cat,10M
5,4,0.0011215265840291977,dog/cat,10M
5,5,-0.004064683802425861,dog/cat,10M
5,6,-0.00012082216562703252,dog/cat,10M
5,7,0.0003423704765737057,dog/cat,10M
5,8,0.004523280076682568,dog/cat,10M
5,9,0.0011982056312263012,dog/cat,10M
5,10,0.002081252634525299,dog/cat,10M
5,11,-0.000955297495238483,dog/cat,10M
6,0,0.007337854243814945,dog/cat,10M
6,1,-0.00045468390453606844,dog/cat,10M
6,2,0.0010901137720793486,dog/cat,10M
6,3,0.0005902409320697188,dog/cat,10M
6,4,0.0004010955453850329,dog/cat,10M
6,5,-0.002575207268819213,dog/cat,10M
6,6,-0.0011680619791150093,dog/cat,10M
6,7,-0.004484657198190689,dog/cat,10M
6,8,0.004944424144923687,dog/cat,10M
6,9,0.005794052500277758,dog/cat,10M
6,10,0.004287760239094496,dog/cat,10M
6,11,0.0012397897662594914,dog/cat,10M
7,0,0.0012224315432831645,dog/cat,10M
7,1,0.007384348660707474,dog/cat,10M
7,2,-0.005470188334584236,dog/cat,10M
7,3,0.004851130768656731,dog/cat,10M
7,4,0.005804333835840225,dog/cat,10M
7,5,-0.00492511224001646,dog/cat,10M
7,6,0.001051112194545567,dog/cat,10M
7,7,0.003110224613919854,dog/cat,10M
7,8,-0.002072090283036232,dog/cat,10M
7,9,-0.0033421432599425316,dog/cat,10M
7,10,-0.0009218454943038523,dog/cat,10M
7,11,0.002992378082126379,dog/cat,10M
8,0,-0.004252527840435505,dog/cat,10M
8,1,0.005266118794679642,dog/cat,10M
8,2,-0.0018152393167838454,dog/cat,10M
8,3,0.002805159194394946,dog/cat,10M
8,4,-0.0023843171074986458,dog/cat,10M
8,5,-0.003481178777292371,dog/cat,10M
8,6,-0.0039413729682564735,dog/cat,10M
8,7,0.005289943888783455,dog/cat,10M
8,8,0.0009373969514854252,dog/cat,10M
8,9,0.0040822396986186504,dog/cat,10M
8,10,-0.001113130827434361,dog/cat,10M
8,11,-0.006260136142373085,dog/cat,10M
9,0,0.001137716812081635,dog/cat,10M
9,1,-0.0025046959053725004,dog/cat,10M
9,2,-0.0005706126103177667,dog/cat,10M
9,3,0.0032970572356134653,dog/cat,10M
9,4,-0.0021302737295627594,dog/cat,10M
9,5,0.002941996557638049,dog/cat,10M
9,6,0.00015138089656829834,dog/cat,10M
9,7,0.00225521856918931,dog/cat,10M
9,8,-4.272838123142719e-05,dog/cat,10M
9,9,0.005103162489831448,dog/cat,10M
9,10,-0.003629072103649378,dog/cat,10M
9,11,-0.004302612971514463,dog/cat,10M
10,0,-0.0028202200774103403,dog/cat,10M
10,1,-0.0020699729211628437,dog/cat,10M
10,2,-0.0018776771612465382,dog/cat,10M
10,3,-0.0004214332439005375,dog/cat,10M
10,4,-0.005688639357686043,dog/cat,10M
10,5,-0.008350741118192673,dog/cat,10M
10,6,0.001151846256107092,dog/cat,10M
10,7,0.003304883139207959,dog/cat,10M
10,8,-0.0016123466193675995,dog/cat,10M
10,9,-0.003097869222983718,dog/cat,10M
10,10,0.0008725199149921536,dog/cat,10M
10,11,-0.0011652919929474592,dog/cat,10M
11,0,-0.0026495589409023523,dog/cat,10M
11,1,-0.0027196775190532207,dog/cat,10M
11,2,-0.012629718519747257,dog/cat,10M
