checkpoint,layer,head,dla_contribution
1000M,0,0,0.0007718534034211189
1000M,0,1,-0.002148290805052966
1000M,0,2,-0.0018122115870937705
1000M,0,3,-0.007961534021887928
1000M,0,4,0.010068067815154791
1000M,0,5,-0.001147164381109178
1000M,0,6,0.0047735043335705996
1000M,0,7,0.0007496558246202767
1000M,0,8,-0.003386319353012368
1000M,0,9,0.0019067537505179644
1000M,0,10,0.0010929531999863684
1000M,0,11,0.0007119720103219151
1000M,1,0,-0.018440839950926602
1000M,1,1,-0.006928224698640406
1000M,1,2,-0.0045604127226397395
1000M,1,3,-0.0013092287117615342
1000M,1,4,0.009240939281880856
1000M,1,5,-0.007871368201449513
1000M,1,6,0.008148924564011395
1000M,1,7,-0.013790138997137547
1000M,1,8,0.009316444513387978
1000M,1,9,-0.0011572984512895346
1000M,1,10,-0.008481817261781543
1000M,1,11,-0.0020082583650946617
1000M,2,0,-0.00837032776325941
1000M,2,1,0.004248100973200053
1000M,2,2,0.006909621763043106
1000M,2,3,0.00793893332593143
1000M,2,4,0.019263639813289046
1000M,2,5,-0.00035341735929250717
1000M,2,6,-0.0026817601756192744
1000M,2,7,-0.008714890107512474
1000M,2,8,0.00935987033881247
1000M,2,9,-0.0073712291195988655
1000M,2,10,0.004343174281530082
1000M,2,11,0.016451058676466346
1000M,3,0,-0.012833922985009849
1000M,3,1,-0.018493918469175696
1000M,3,2,0.001190852839499712
1000M,3,3,-0.0022178003564476967
1000M,3,4,-0.009752670302987099
1000M,3,5,0.0017650510417297482
1000M,3,6,0.0024884582962840796
1000M,3,7,-0.0044655094388872385
1000M,3,8,0.007023348240181804
1000M,3,9,-0.008309773169457912
1000M,3,10,-0.00643915543332696
1000M,3,11,-0.001467979745939374
1000M,4,0,0.008231981773860753
1000M,4,1,-0.015292358584702015
1000M,4,2,-0.01863378647249192
1000M,4,3,0.010166379739530385
1000M,4,4,-0.007521200459450483
1000M,4,5,-0.0012012799270451069
1000M,4,6,-0.08633632073178887
1000M,4,7,0.0009648713748902082
1000M,4,8,-0.00514972535893321
1000M,4,9,0.005460738320834935
1000M,4,10,-0.005156229599379003
1000M,4,11,0.00011209899093955755
1000M,5,0,-0.014878589077852666
1000M,5,1,-0.0024363514967262745
1000M,5,2,-0.00040129455737769604
1000M,5,3,-0.07021931046620011
1000M,5,4,0.011857608100399375
1000M,5,5,-0.003962565213441849
1000M,5,6,0.01678355224430561
1000M,5,7,-0.0059716543182730675
1000M,5,8,0.012511503882706165
1000M,5,9,-0.031585043761879206
1000M,5,10,0.004653736366890371
1000M,5,11,0.0018091240199282765
1000M,6,0,-0.027675431221723557
1000M,6,1,-0.006470782915130258
1000M,6,2,0.024564313236624002
1000M,6,3,-0.04743993002921343
1000M,6,4,0.007668503327295184
1000M,6,5,0.013424975099042058
1000M,6,6,0.0008873011684045196
1000M,6,7,-0.00248594768345356
1000M,6,8,-0.007813114090822637
1000M,6,9,0.002712963439989835
1000M,6,10,0.010748568223789334
1000M,6,11,-0.016558884759433568
1000M,7,0,-0.010135007789358497
1000M,7,1,0.01827338442672044
1000M,7,2,0.005716771120205522
1000M,7,3,-0.05441654287278652
1000M,7,4,0.025319128995761275
1000M,7,5,0.03408994874916971
1000M,7,6,-0.05748220067471266
1000M,7,7,0.019697253359481692
1000M,7,8,-0.036134857684373856
1000M,7,9,-0.02962703350931406
1000M,7,10,-0.012159991078078747
1000M,7,11,0.0031453710980713367
1000M,8,0,-0.1346608903259039
1000M,8,1,-0.039393533021211624
1000M,8,2,0.014693482778966427
1000M,8,3,0.0077237451914697886
1000M,8,4,-0.04675931576639414
1000M,8,5,0.012118763523176312
1000M,8,6,-0.07234784308820963
1000M,8,7,-0.0032498864457011223
1000M,8,8,0.035178327932953835
1000M,8,9,-0.000989214750006795
1000M,8,10,0.015262916684150696
1000M,8,11,0.003354653250426054
1000M,9,0,-0.006966856773942709
1000M,9,1,-0.010669237468391657
1000M,9,2,0.0025837684515863657
1000M,9,3,0.024325896054506302
1000M,9,4,-0.0074407621286809444
1000M,9,5,-0.009644556324928999
1000M,9,6,-0.022205467335879803
1000M,9,7,-0.02039674436673522
1000M,9,8,0.04865438770502806
1000M,9,9,0.05044352263212204
1000M,9,10,-0.12319219391793013
1000M,9,11,-0.07223994471132755
1000M,10,0,-0.011873890180140734
1000M,10,1,0.025462625082582235
1000M,10,2,-0.09851726610213518
1000M,10,3,0.038091242080554366
1000M,10,4,0.029970260336995125
1000M,10,5,-0.08437016094103456
1000M,10,6,0.0064078993164002895
1000M,10,7,-0.04647311824373901
1000M,10,8,0.01629386469721794
1000M,10,9,-0.04426761530339718
1000M,10,10,-0.030677599366754293
1000M,10,11,-0.006411125883460045
1000M,11,0,-0.04399485536850989
1000M,11,1,-0.03250473248772323
1000M,11,2,-0.02743079070933163
1000M,11,3,-0.06514571863226593
1000M,11,4,0.02896962594240904
1000M,11,5,0.01602361653931439
1000M,11,6,0.02151653915643692
1000M,11,7,0.0010087178088724613
1000M,11,8,-0.0037467554211616516
1000M,11,9,0.03837797371670604
1000M,11,10,0.02770312177017331
1000M,11,11,-0.06982063129544258
10M,0,0,-0.00033114224061137065
10M,0,1,-0.0002942734572570771
10M,0,2,-0.0007157408253988251
10M,0,3,-0.00016558605420868844
10M,0,4,1.01749028544873e-05
10M,0,5,-0.00023318215971812606
10M,0,6,-0.0013288296540849842
10M,0,7,-0.00035284998011775315
10M,0,8,0.00014908862067386508
10M,0,9,9.007174230646342e-05
10M,0,10,-0.0004434078582562506
10M,0,11,-7.868022657930851e-05
10M,1,0,0.0016715519886929542
10M,1,1,0.001146925162174739
10M,1,2,0.003944360243622214
10M,1,3,0.003814060561126098
10M,1,4,0.0025493908615317196
10M,1,5,-0.0028955922462046146
10M,1,6,0.00015284260734915733
10M,1,7,-0.0037350854836404324
10M,1,8,0.0026861278456635773
10M,1,9,0.0011641616001725197
10M,1,10,-0.0009292113245464861
10M,1,11,0.0007029629196040332
10M,2,0,0.00039951351936906576
10M,2,1,0.00012157639139331877
10M,2,2,-0.0020689202356152236
10M,2,3,0.0035189116024412215
10M,2,4,0.0011552898795343935
10M,2,5,0.0002752551808953285
10M,2,6,-0.0026275316486135125
10M,2,7,0.0016358005814254284
10M,2,8,-0.0017073829949367791
10M,2,9,-0.0002067156892735511
10M,2,10,-0.000567353010410443
10M,2,11,0.001098510721931234
10M,3,0,0.0011432725877966732
10M,3,1,-0.0015297858626581728
10M,3,2,0.0003780149854719639
10M,3,3,0.00012559234164655209
10M,3,4,0.00011098431423306465
10M,3,5,-0.0007523996173404157
10M,3,6,0.002609258168376982
10M,3,7,0.0010998428333550692
10M,3,8,0.002402577258180827
10M,3,9,0.0007713244995102286
10M,3,10,-0.0019854229758493602
10M,3,11,0.0016412718396168202
10M,4,0,0.00020331954874563962
10M,4,1,0.0003117195446975529
10M,4,2,0.00017682347970549017
10M,4,3,-0.002251214740681462
10M,4,4,0.00030579723534174263
10M,4,5,0.00019590540614444762
10M,4,6,0.001530261739389971
10M,4,7,0.0007066895486786962
10M,4,8,-0.0008309684635605663
10M,4,9,-0.0007460533524863422
10M,4,10,0.0011479799286462367
10M,4,11,-0.0023792649008100852
10M,5,0,-0.001185944682219997
10M,5,1,-0.001175648474600166
10M,5,2,0.001041543553583324
10M,5,3,0.00018657362670637667
