checkpoint,position,token,l8h0_attention
10M,0,<s>,0.054548
10M,1,The,0.051889
10M,2,dog,0.052927
10M,3,followed,0.021982
10M,4,the,0.071699
10M,5,cat,0.067996
10M,6,into,0.041174
10M,7,the,0.078217
10M,8,wood,0.066651
10M,9,.,0.14811
10M,10,The,0.11325
10M,11,cat,0.085078
10M,12,hid,0.028477
10M,13,from,0.047341
10M,14,the,0.070662
50M,0,<s>,0.032527
50M,1,The,0.122803
50M,2,dog,0.065725
50M,3,followed,0.027996
50M,4,the,0.046268
50M,5,cat,0.170959
50M,6,into,0.029254
50M,7,the,0.037311
50M,8,wood,0.13081
50M,9,.,0.026731
50M,10,The,0.069049
50M,11,cat,0.123651
50M,12,hid,0.051214
50M,13,from,0.022171
50M,14,the,0.043531
200M,0,<s>,0.378515
200M,1,The,0.028509
200M,2,dog,0.025552
200M,3,followed,0.001244
200M,4,the,0.004601
200M,5,cat,0.044926
200M,6,into,0.010606
200M,7,the,0.00508
200M,8,wood,0.056136
200M,9,.,0.404149
200M,10,The,0.022594
200M,11,cat,0.005906
200M,12,hid,0.000845
200M,13,from,0.004335
200M,14,the,0.007002
1000M,0,<s>,0.486292
1000M,1,The,0.036241
1000M,2,dog,0.013196
1000M,3,followed,0.004801
1000M,4,the,0.008581
1000M,5,cat,0.024873
1000M,6,into,0.002235
1000M,7,the,0.001879
1000M,8,wood,0.068444
1000M,9,.,0.317993
1000M,10,The,0.009539
1000M,11,cat,0.004145
1000M,12,hid,0.002049
1000M,13,from,0.001781
1000M,14,the,0.017951
