checkpoint,layer,head,dla_score
10M,0,0,-0.0010418776655569673
10M,0,1,0.0012753672199323773
10M,0,2,0.001003346056677401
10M,0,3,-7.127776189008728e-05
10M,0,4,0.0001546878629596904
10M,0,5,0.0017298804596066475
10M,0,6,-0.001465020002797246
10M,0,7,0.00040570806595496833
10M,0,8,0.00034117125323973596
10M,0,9,-0.0014401273801922798
10M,0,10,0.0006768912426196039
10M,0,11,0.0016582119278609753
10M,1,0,-0.0003040823503397405
10M,1,1,8.23230147943832e-05
10M,1,2,0.0018539790762588382
10M,1,3,0.0005024473648518324
10M,1,4,-0.0009681947994977236
10M,1,5,-0.0028522068168967962
10M,1,6,0.001703478628769517
10M,1,7,-0.0029331035912036896
10M,1,8,0.004867523908615112
10M,1,9,0.003166806884109974
10M,1,10,-0.0019026543013751507
10M,1,11,-0.0028206610586494207
10M,2,0,-0.0006067380309104919
10M,2,1,-0.0039762454107403755
10M,2,2,-0.004028068855404854
10M,2,3,0.0034072427079081535
10M,2,4,-0.0016697895480319858
10M,2,5,0.0006430768989957869
10M,2,6,-0.002387215383350849
10M,2,7,0.001971864141523838
10M,2,8,-0.0009049214422702789
10M,2,9,0.0014038687804713845
10M,2,10,0.001438891515135765
10M,2,11,0.0035170544870197773
10M,3,0,-0.0003291101602371782
10M,3,1,-0.0026353197172284126
10M,3,2,0.002256150357425213
10M,3,3,-0.0025261593982577324
10M,3,4,-0.002300029154866934
10M,3,5,-0.003811491886153817
10M,3,6,0.004732554312795401
10M,3,7,0.001393047859892249
10M,3,8,-0.0012688286369666457
10M,3,9,-0.0007704638410359621
10M,3,10,-0.004667709115892649
10M,3,11,0.0022963627707213163
10M,4,0,0.0011050194734707475
10M,4,1,0.0007930801366455853
10M,4,2,0.0005596322589553893
10M,4,3,-0.0009081839816644788
10M,4,4,-0.00648849830031395
10M,4,5,0.0024760961532592773
10M,4,6,0.0015382047276943922
10M,4,7,0.001103234593756497
10M,4,8,0.001722737797535956
10M,4,9,0.0010146404383704066
10M,4,10,-0.0006751042674295604
10M,4,11,-0.005896021146327257
10M,5,0,0.00048806786071509123
10M,5,1,-0.003623424796387553
10M,5,2,0.004987949971109629
10M,5,3,0.00012464977044146508
10M,5,4,0.0032038611825555563
10M,5,5,-0.0033224045764654875
10M,5,6,-2.72926663456019e-05
10M,5,7,0.004933143500238657
10M,5,8,0.006867194548249245
10M,5,9,0.004434915725141764
10M,5,10,0.0046853721141815186
10M,5,11,0.002444069366902113
10M,6,0,0.003579934360459447
10M,6,1,0.0013225467409938574
10M,6,2,0.0050904578529298306
10M,6,3,0.0009691845625638962
