checkpoint,layer,position,recovery
10M,0,0,0.0
10M,0,1,0.0
10M,0,2,0.0
10M,0,3,0.0
10M,0,4,0.0
10M,0,5,0.0
10M,0,6,0.0
10M,0,7,0.0
10M,0,8,0.0
10M,0,9,0.0
10M,0,10,0.0
10M,0,11,0.0
10M,0,12,0.0
10M,0,13,0.0
10M,0,14,0.0
10M,0,15,1.0
10M,1,0,0.0
10M,1,1,0.0
10M,1,2,0.0
10M,1,3,0.0
10M,1,4,0.0
10M,1,5,0.0
10M,1,6,0.0
10M,1,7,0.0
10M,1,8,0.0
10M,1,9,0.0
10M,1,10,0.0
10M,1,11,0.0
10M,1,12,0.0
10M,1,13,0.0
10M,1,14,0.0
10M,1,15,1.0
10M,2,0,0.0
10M,2,1,0.0
10M,2,2,0.0
10M,2,3,0.0
10M,2,4,0.0
10M,2,5,0.0
10M,2,6,0.0
10M,2,7,0.0
10M,2,8,0.0
10M,2,9,0.0
10M,2,10,0.0
10M,2,11,0.0
10M,2,12,0.0
10M,2,13,0.0
10M,2,14,0.0
10M,2,15,1.0
10M,3,0,0.0
10M,3,1,0.0
10M,3,2,0.0
10M,3,3,0.0
10M,3,4,0.0
10M,3,5,0.0
10M,3,6,0.0
10M,3,7,0.0
10M,3,8,0.0
10M,3,9,0.0
10M,3,10,0.0
10M,3,11,0.0
10M,3,12,0.0
10M,3,13,0.0
10M,3,14,0.0
10M,3,15,1.0
10M,4,0,0.0
10M,4,1,0.0
10M,4,2,0.0
10M,4,3,0.0
10M,4,4,0.0
10M,4,5,0.0
10M,4,6,0.0
10M,4,7,0.0
10M,4,8,0.0
10M,4,9,0.0
10M,4,10,0.0
10M,4,11,0.0
10M,4,12,0.0
10M,4,13,0.0
10M,4,14,0.0
10M,4,15,1.0
10M,5,0,0.0
10M,5,1,0.0
10M,5,2,0.0
10M,5,3,0.0
10M,5,4,0.0
10M,5,5,0.0
10M,5,6,0.0
10M,5,7,0.0
10M,5,8,0.0
10M,5,9,0.0
10M,5,10,0.0
10M,5,11,0.0
10M,5,12,0.0
10M,5,13,0.0
10M,5,14,0.0
10M,5,15,1.0
10M,6,0,0.0
10M,6,1,0.0
10M,6,2,0.0
10M,6,3,0.0
10M,6,4,0.0
10M,6,5,0.0
10M,6,6,0.0
10M,6,7,0.0
10M,6,8,0.0
10M,6,9,0.0
10M,6,10,0.0
10M,6,11,0.0
10M,6,12,0.0
10M,6,13,0.0
10M,6,14,0.0
10M,6,15,1.0
10M,7,0,0.0
10M,7,1,0.0
10M,7,2,0.0
10M,7,3,0.0
10M,7,4,0.0
10M,7,5,0.0
10M,7,6,0.0
10M,7,7,0.0
10M,7,8,0.0
10M,7,9,0.0
10M,7,10,0.0
10M,7,11,0.0
10M,7,12,0.0
10M,7,13,0.0
10M,7,14,0.0
10M,7,15,1.0
10M,8,0,0.0
10M,8,1,0.0
10M,8,2,0.0
10M,8,3,0.0
10M,8,4,0.0
10M,8,5,0.0
10M,8,6,0.0
10M,8,7,0.0
10M,8,8,0.0
10M,8,9,0.0
10M,8,10,0.0
10M,8,11,0.0
10M,8,12,0.0
10M,8,13,0.0
10M,8,14,0.0
10M,8,15,1.0
10M,9,0,0.0
10M,9,1,0.0
10M,9,2,0.0
10M,9,3,0.0
10M,9,4,0.0
10M,9,5,0.0
10M,9,6,0.0
10M,9,7,0.0
10M,9,8,0.0
10M,9,9,0.0
10M,9,10,0.0
10M,9,11,0.0
10M,9,12,0.0
10M,9,13,0.0
10M,9,14,0.0
10M,9,15,1.0
10M,10,0,0.0
10M,10,1,0.0
10M,10,2,0.0
10M,10,3,0.0
10M,10,4,0.0
10M,10,5,0.0
10M,10,6,0.0
10M,10,7,0.0
10M,10,8,0.0
10M,10,9,0.0
10M,10,10,0.0
10M,10,11,0.0
10M,10,12,0.0
10M,10,13,0.0
10M,10,14,0.0
10M,10,15,1.0
10M,11,0,0.0
10M,11,1,0.0
10M,11,2,0.0
10M,11,3,0.0
10M,11,4,0.0
10M,11,5,0.0
10M,11,6,0.0
10M,11,7,0.0
10M,11,8,0.0
10M,11,9,0.0
10M,11,10,0.0
10M,11,11,0.0
10M,11,12,0.0
10M,11,13,0.0
10M,11,14,0.0
10M,11,15,1.0
50M,0,0,0.0
50M,0,1,0.0
50M,0,2,0.0
50M,0,3,0.0
50M,0,4,0.0
50M,0,5,0.0
50M,0,6,0.0
50M,0,7,0.0
50M,0,8,0.0
50M,0,9,0.0
50M,0,10,0.0
50M,0,11,0.0
50M,0,12,0.0
50M,0,13,0.0
50M,0,14,0.0
50M,0,15,1.0
50M,1,0,0.0
50M,1,1,0.0
50M,1,2,0.0
50M,1,3,0.0
50M,1,4,0.0
50M,1,5,0.0
50M,1,6,0.0
50M,1,7,0.0
50M,1,8,0.0
50M,1,9,0.0
50M,1,10,0.0
50M,1,11,0.0
50M,1,12,0.0
50M,1,13,0.0
50M,1,14,0.0
50M,1,15,1.0
50M,2,0,0.0
50M,2,1,0.0
50M,2,2,0.0
50M,2,3,0.0
50M,2,4,0.0
50M,2,5,0.0
