checkpoint,layer,kl_divergence,kl_tuned,commit_standard,commit_tuned
10M,0,0.6409573554992676,,1,
10M,1,0.33714044094085693,,1,
10M,2,0.2506359815597534,,1,
10M,3,0.21098437905311584,,1,
10M,4,0.1929398775100708,,1,
10M,5,0.15492796897888184,,1,
10M,6,0.1182585284113884,,1,
10M,7,0.08274945616722107,,1,
10M,8,0.04752316325902939,,1,
10M,9,0.025094471871852875,,1,
10M,10,0.0088176429271698,,1,
10M,11,0.00036330698640085757,,1,
20M,0,0.5081099271774292,,1,
20M,1,0.21638338267803192,,1,
20M,2,0.17938733100891113,,1,
20M,3,0.1645336151123047,,1,
20M,4,0.14409108459949493,,1,
20M,5,0.12857189774513245,,1,
20M,6,0.09749604761600494,,1,
20M,7,0.08375133574008942,,1,
20M,8,0.048159968107938766,,1,
20M,9,0.03064180165529251,,1,
20M,10,0.013401727192103863,,1,
20M,11,0.00156977993901819,,1,
50M,0,0.6304233074188232,,2,
50M,1,0.524958074092865,,2,
50M,2,0.41876015067100525,,2,
50M,3,0.32583484053611755,,2,
50M,4,0.28668367862701416,,2,
50M,5,0.2738521993160248,,2,
50M,6,0.2557370066642761,,2,
50M,7,0.29405683279037476,,2,
50M,8,0.196742981672287,,2,
50M,9,0.10670468956232071,,2,
50M,10,0.045812420547008514,,2,
50M,11,0.009610501118004322,,2,
200M,0,2.0290467739105225,,8,
200M,1,1.8825209140777588,,8,
200M,2,1.8417530059814453,,8,
200M,3,1.6886601448059082,,8,
200M,4,1.5696868896484375,,8,
200M,5,1.4335403442382812,,8,
200M,6,1.0368283987045288,,8,
200M,7,0.7745710611343384,,8,
200M,8,0.3666599988937378,,8,
200M,9,0.2295096218585968,,8,
200M,10,0.06831592321395874,,8,
200M,11,0.046767693012952805,,8,
1000M,0,4.261584758758545,,10,
1000M,1,4.423795700073242,,10,
1000M,2,4.147914886474609,,10,
1000M,3,3.8180947303771973,,10,
1000M,4,3.699533462524414,,10,
1000M,5,3.277007818222046,,10,
1000M,6,2.170750856399536,,10,
1000M,7,0.9800500869750977,,10,
1000M,8,0.7065040469169617,,10,
1000M,9,0.8616155982017517,,10,
1000M,10,0.2695818543434143,,10,
1000M,11,0.09761877357959747,,10,
