checkpoint,layer,head,entropy
10M,0,0,2.543696641921997
10M,0,1,2.6122236251831055
10M,0,2,2.5768704414367676
10M,0,3,2.6075425148010254
10M,0,4,2.608598470687866
10M,0,5,2.4496452808380127
10M,0,6,2.5665106773376465
10M,0,7,2.6154396533966064
10M,0,8,2.5825281143188477
10M,0,9,2.5903966426849365
10M,0,10,2.4963583946228027
10M,0,11,2.4907236099243164
10M,1,0,2.6126465797424316
10M,1,1,2.5984909534454346
10M,1,2,2.6336140632629395
10M,1,3,2.6017251014709473
10M,1,4,2.597952127456665
10M,1,5,2.59726881980896
10M,1,6,2.6024506092071533
10M,1,7,2.6018848419189453
10M,1,8,2.569672107696533
10M,1,9,2.6009936332702637
10M,1,10,2.5653603076934814
10M,1,11,2.5258235931396484
10M,2,0,2.555144786834717
10M,2,1,2.613081216812134
10M,2,2,1.7557358741760254
10M,2,3,2.557906150817871
10M,2,4,2.5355992317199707
10M,2,5,2.3974573612213135
10M,2,6,2.5945096015930176
10M,2,7,2.6177353858947754
10M,2,8,2.5342533588409424
10M,2,9,2.476484775543213
10M,2,10,2.5815744400024414
10M,2,11,2.5126030445098877
10M,3,0,2.6093931198120117
10M,3,1,2.2050015926361084
10M,3,2,2.4388389587402344
10M,3,3,2.43677020072937
10M,3,4,2.6211233139038086
10M,3,5,2.474308490753174
10M,3,6,2.5435640811920166
10M,3,7,2.4719417095184326
10M,3,8,2.3338851928710938
10M,3,9,2.597865343093872
10M,3,10,2.4688758850097656
10M,3,11,2.563459634780884
10M,4,0,2.6131720542907715
10M,4,1,2.28425669670105
10M,4,2,2.2830936908721924
10M,4,3,2.5467262268066406
10M,4,4,2.532961130142212
10M,4,5,2.6057348251342773
10M,4,6,2.5700931549072266
10M,4,7,2.5339317321777344
10M,4,8,2.5771563053131104
10M,4,9,2.407796859741211
10M,4,10,2.601435661315918
10M,4,11,2.544490098953247
10M,5,0,2.376624345779419
10M,5,1,2.426253318786621
10M,5,2,2.391322374343872
10M,5,3,2.5706632137298584
10M,5,4,2.492875576019287
10M,5,5,2.6217682361602783
10M,5,6,2.566417694091797
10M,5,7,2.5676658153533936
10M,5,8,2.5782907009124756
10M,5,9,2.3011295795440674
10M,5,10,2.5781614780426025
10M,5,11,2.445340156555176
10M,6,0,2.3764488697052
10M,6,1,2.539027214050293
10M,6,2,2.504153251647949
10M,6,3,2.5769612789154053
10M,6,4,2.5275776386260986
10M,6,5,2.5420894622802734
10M,6,6,2.298858404159546
10M,6,7,2.5311694145202637
10M,6,8,2.168158531188965
10M,6,9,2.589191198348999
10M,6,10,2.4734883308410645
10M,6,11,2.5660791397094727
10M,7,0,2.374999523162842
10M,7,1,2.584582567214966
10M,7,2,2.453662633895874
10M,7,3,2.4942898750305176
10M,7,4,2.447073459625244
10M,7,5,2.3018057346343994
10M,7,6,2.6013855934143066
10M,7,7,2.312962532043457
10M,7,8,2.4571051597595215
10M,7,9,2.5841450691223145
10M,7,10,2.548426866531372
10M,7,11,2.5987324714660645
10M,8,0,2.5871572494506836
10M,8,1,2.6023271083831787
10M,8,2,2.6146647930145264
10M,8,3,2.5730409622192383
10M,8,4,2.5099008083343506
10M,8,5,2.615265130996704
10M,8,6,2.542804718017578
10M,8,7,2.5828604698181152
10M,8,8,2.5549354553222656
10M,8,9,1.9460114240646362
10M,8,10,2.516270160675049
10M,8,11,2.5056586265563965
10M,9,0,2.59839129447937
10M,9,1,2.5132527351379395
10M,9,2,2.411189317703247
10M,9,3,2.569007396697998
10M,9,4,2.579554319381714
10M,9,5,2.5872573852539062
10M,9,6,2.4270355701446533
10M,9,7,2.6227235794067383
10M,9,8,2.5764479637145996
10M,9,9,2.585380792617798
10M,9,10,2.6146998405456543
10M,9,11,2.5350842475891113
10M,10,0,2.5899343490600586
10M,10,1,2.6237285137176514
10M,10,2,2.5863449573516846
10M,10,3,2.6198105812072754
10M,10,4,2.611128330230713
10M,10,5,2.544940710067749
10M,10,6,2.5833895206451416
10M,10,7,2.604613780975342
10M,10,8,2.2266504764556885
10M,10,9,2.595022201538086
10M,10,10,2.604069709777832
10M,10,11,2.578334331512451
10M,11,0,2.6231253147125244
10M,11,1,2.600431442260742
10M,11,2,2.600008010864258
10M,11,3,2.6322717666625977
10M,11,4,2.5196380615234375
10M,11,5,2.588108777999878
10M,11,6,2.6140499114990234
10M,11,7,2.6112353801727295
10M,11,8,2.5350165367126465
10M,11,9,2.5877184867858887
10M,11,10,2.544724702835083
10M,11,11,2.6221494674682617
20M,0,0,2.519554376602173
20M,0,1,2.596832036972046
20M,0,2,2.5862746238708496
20M,0,3,2.5404951572418213
20M,0,4,2.532496929168701
20M,0,5,2.493495464324951
20M,0,6,2.591928005218506
20M,0,7,2.595496654510498
20M,0,8,2.561929225921631
20M,0,9,2.6110715866088867
20M,0,10,2.5874056816101074
20M,0,11,2.481025218963623
20M,1,0,2.6027536392211914
20M,1,1,2.586203098297119
20M,1,2,2.3932666778564453
20M,1,3,2.5158166885375977
20M,1,4,1.5219895839691162
20M,1,5,1.7565854787826538
20M,1,6,2.5885860919952393
20M,1,7,2.469831705093384
20M,1,8,1.6549046039581299
20M,1,9,2.282691717147827
20M,1,10,2.5653493404388428
20M,1,11,2.381335735321045
20M,2,0,2.3567426204681396
20M,2,1,2.2051079273223877
20M,2,2,1.5744383335113525
20M,2,3,2.521390914916992
20M,2,4,2.3703110218048096
