base,layer,head,score_base,score_ppo,delta_induction
50M,0,0,0.01892174407839775,0.01899075135588646,6.90072774887085e-05
50M,0,1,0.01955479383468628,0.019472254440188408,-8.25393944978714e-05
50M,0,2,0.011761422269046307,0.011773019097745419,1.1596828699111938e-05
50M,0,3,0.020288532599806786,0.020181583240628242,-0.00010694935917854309
50M,0,4,0.019814295694231987,0.019685884937644005,-0.00012841075658798218
50M,0,5,0.015194034203886986,0.014930824749171734,-0.0002632094547152519
50M,0,6,0.019951891154050827,0.0201005507260561,0.0001486595720052719
50M,0,7,0.019288428127765656,0.019198665395379066,-8.976273238658905e-05
50M,0,8,0.010958082042634487,0.01058944221585989,-0.00036863982677459717
50M,0,9,0.02049204707145691,0.020434916019439697,-5.7131052017211914e-05
50M,0,10,0.018288280814886093,0.017718810588121414,-0.000569470226764679
50M,0,11,0.014818050898611546,0.014567463658750057,-0.00025058723986148834
50M,1,0,0.017888495698571205,0.018020207062363625,0.00013171136379241943
50M,1,1,0.017006369307637215,0.017247995361685753,0.0002416260540485382
50M,1,2,0.019018592312932014,0.018597358837723732,-0.00042123347520828247
50M,1,3,0.01915600523352623,0.01976335421204567,0.0006073489785194397
50M,1,4,0.016070976853370667,0.01761912740767002,0.0015481505542993546
50M,1,5,0.023176027461886406,0.022218141704797745,-0.0009578857570886612
50M,1,6,0.016951648518443108,0.017469637095928192,0.0005179885774850845
50M,1,7,0.012997198849916458,0.01288619078695774,-0.00011100806295871735
50M,1,8,0.018159108236432076,0.017725789919495583,-0.0004333183169364929
50M,1,9,0.019826747477054596,0.020253004506230354,0.00042625702917575836
50M,1,10,0.01613263040781021,0.01578659564256668,-0.0003460347652435303
50M,1,11,0.02120700292289257,0.02142513543367386,0.00021813251078128815
50M,2,0,0.008963663130998611,0.009319552220404148,0.00035588908940553665
50M,2,1,0.009310329332947731,0.008800498209893703,-0.0005098311230540276
50M,2,2,0.019981933757662773,0.019792092964053154,-0.00018984079360961914
50M,2,3,0.01078649889677763,0.010588874109089375,-0.0001976247876882553
50M,2,4,0.011730978265404701,0.010851862840354443,-0.0008791154250502586
50M,2,5,0.020210161805152893,0.020317478105425835,0.00010731630027294159
50M,2,6,0.012474560178816319,0.01108359545469284,-0.001390964724123478
50M,2,7,0.007682691793888807,0.008041956461966038,0.00035926466807723045
50M,2,8,0.020623881369829178,0.02049475535750389,-0.00012912601232528687
50M,2,9,0.015086359344422817,0.014948733150959015,-0.00013762619346380234
50M,2,10,0.0188377033919096,0.018110845237970352,-0.0007268581539392471
50M,2,11,0.012028556317090988,0.011531750671565533,-0.0004968056455254555
50M,3,0,0.028681740164756775,0.02803400531411171,-0.0006477348506450653
50M,3,1,0.020739292725920677,0.023472895845770836,0.0027336031198501587
50M,3,2,0.00945656094700098,0.008989499881863594,-0.0004670610651373863
50M,3,3,0.02193787880241871,0.021081214770674706,-0.0008566640317440033
50M,3,4,0.023050561547279358,0.022705895826220512,-0.0003446657210588455
50M,3,5,0.023185472935438156,0.02263270877301693,-0.0005527641624212265
50M,3,6,0.01626630499958992,0.015493291430175304,-0.0007730135694146156
50M,3,7,0.02236340008676052,0.021877547726035118,-0.00048585236072540283
50M,3,8,0.008139098063111305,0.008006129413843155,-0.00013296864926815033
50M,3,9,0.007166903465986252,0.007321842480450869,0.00015493901446461678
50M,3,10,0.018940553069114685,0.019388750195503235,0.0004481971263885498
50M,3,11,0.012225134298205376,0.012785647064447403,0.0005605127662420273
50M,4,0,0.020308291539549828,0.020271185785531998,-3.7105754017829895e-05
50M,4,1,0.022366521880030632,0.020198101177811623,-0.0021684207022190094
50M,4,2,0.012332919985055923,0.01228010281920433,-5.281716585159302e-05
50M,4,3,0.009578700177371502,0.009329711087048054,-0.0002489890903234482
50M,4,4,0.013675916939973831,0.012292211875319481,-0.0013837050646543503
50M,4,5,0.014394864439964294,0.012737858109176159,-0.0016570063307881355
50M,4,6,0.023065177723765373,0.02194198966026306,-0.0011231880635023117
50M,4,7,0.019747210666537285,0.020952360704541206,0.0012051500380039215
50M,4,8,0.020413629710674286,0.01902099885046482,-0.001392630860209465
50M,4,9,0.022620918229222298,0.02250020205974579,-0.0001207161694765091
50M,4,10,0.01280820369720459,0.012764646671712399,-4.3557025492191315e-05
50M,4,11,0.01601264998316765,0.015273528173565865,-0.0007391218096017838
50M,5,0,0.013901814818382263,0.012055751867592335,-0.0018460629507899284
50M,5,1,0.024949824437499046,0.025802234187722206,0.0008524097502231598
50M,5,2,0.020523617044091225,0.02049548551440239,-2.8131529688835144e-05
50M,5,3,0.0149128008633852,0.012585503049194813,-0.0023272978141903877
50M,5,4,0.02310231514275074,0.02104659378528595,-0.0020557213574647903
50M,5,5,0.005436261650174856,0.005740612745285034,0.000304351095110178
50M,5,6,0.013768413104116917,0.01200077310204506,-0.0017676400020718575
50M,5,7,0.020490242168307304,0.019102081656455994,-0.0013881605118513107
50M,5,8,0.009984060190618038,0.009263413958251476,-0.0007206462323665619
50M,5,9,0.008398926816880703,0.007693372201174498,-0.0007055546157062054
50M,5,10,0.018302669748663902,0.01800169236958027,-0.0003009773790836334
50M,5,11,0.021445786580443382,0.019238736480474472,-0.0022070500999689102
50M,6,0,0.014167140237987041,0.013582241721451283,-0.000584898516535759
50M,6,1,0.017808571457862854,0.015814034268260002,-0.001994537189602852
50M,6,2,0.018453609198331833,0.02117246761918068,0.0027188584208488464
50M,6,3,0.019370798021554947,0.018309935927391052,-0.0010608620941638947
50M,6,4,0.012384872883558273,0.01221976988017559,-0.0001651030033826828
50M,6,5,0.022645795717835426,0.023191580548882484,0.0005457848310470581
50M,6,6,0.017949074506759644,0.016510585322976112,-0.0014384891837835312
50M,6,7,0.008144224993884563,0.00778098264709115,-0.00036324234679341316
50M,6,8,0.019510919228196144,0.019515667110681534,4.7478824853897095e-06
50M,6,9,0.02162861078977585,0.0211079902946949,-0.0005206204950809479
